"Name","Length","LastWriteTime"
"ChKn_miner_installer_x64.exe","2919632","2/23/2026 9:57:04 AM"
"README-STANDALONE-INSTALL.txt","126","6/17/2026 3:06:20 PM"
"SHA256SUMS.txt","193","6/17/2026 3:06:20 PM"
